,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,12,12,14,18,15,13,11,16,10,9,14,15,13,9,10,14,13,12,10
1,13,14,14,10,11,11,12,16,15,7,10,17,8,15,14,7,14,14,18
2,17,14,11,11,20,10,7,21,11,4,13,12,15,15,11,14,11,14,9
3,15,15,12,11,14,10,15,16,15,6,12,12,8,15,11,11,16,8,18
4,11,14,10,12,8,11,12,11,11,11,16,9,15,14,10,20,16,18,11
5,19,16,10,8,18,14,9,9,16,12,13,16,16,8,12,9,11,11,13
6,11,9,11,9,19,13,8,15,9,12,19,15,14,14,6,18,16,9,13
7,14,14,10,15,11,14,8,12,12,15,12,13,14,15,10,17,15,12,7
8,10,13,20,20,11,12,7,14,13,10,7,10,7,12,13,12,15,20,14
9,13,10,12,19,13,14,17,10,11,20,15,13,13,6,6,12,14,11,11
10,11,13,13,15,14,12,14,13,13,16,19,12,5,10,13,13,14,12,8
11,15,9,5,10,18,10,10,16,12,12,14,12,19,9,20,15,10,14,10
12,15,14,12,17,10,5,22,8,20,14,11,14,8,6,13,10,16,13,12
13,14,16,10,9,9,13,15,10,14,16,11,10,10,9,11,9,19,19,16
14,15,11,17,9,13,9,17,8,13,17,13,14,13,11,16,10,17,7,10
15,10,16,20,11,8,6,16,14,13,13,17,12,11,21,8,11,12,16,5
16,11,17,17,12,12,13,17,15,13,12,14,9,6,10,11,13,11,15,12
17,12,16,8,11,15,12,8,11,19,13,18,14,14,15,10,9,13,8,14
18,11,6,6,8,8,14,15,14,17,13,14,10,14,19,17,17,9,15,13
