,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,138,24,24,7,1,5,7,6,3,1,2,1,4,4,4,2,6,0,1
1,10,102,69,4,2,8,6,4,6,2,3,9,1,3,4,4,1,0,2
2,12,78,98,3,2,7,4,8,1,4,2,5,1,4,7,1,2,0,1
3,10,10,7,152,4,8,5,4,4,1,6,6,7,3,4,1,4,0,4
4,2,3,2,0,117,28,9,17,15,8,6,4,4,6,5,4,6,0,4
5,0,0,1,2,3,53,45,51,13,5,10,6,10,10,10,8,6,2,5
6,0,1,0,1,6,50,35,62,12,7,5,8,14,7,6,8,15,0,3
7,0,1,0,0,7,45,43,60,15,2,13,6,9,8,8,9,9,0,5
8,1,2,1,0,1,24,18,17,35,12,14,8,16,22,16,25,23,1,4
9,1,3,3,0,2,10,9,5,12,49,24,20,16,20,29,14,22,0,1
10,0,0,0,0,2,8,6,6,23,27,32,26,19,21,25,22,23,0,0
11,1,0,0,0,1,5,3,8,18,38,25,22,28,21,21,23,21,0,5
12,0,2,0,0,3,8,9,7,23,15,32,22,21,22,20,22,30,0,4
13,1,3,2,1,1,6,9,4,23,28,27,21,14,24,28,20,27,0,1
14,1,0,2,0,0,6,6,8,14,31,32,25,18,25,23,22,25,0,2
15,0,1,2,0,3,9,8,6,18,32,22,17,21,31,20,23,23,0,4
16,0,1,2,0,2,6,11,7,24,24,20,34,25,15,25,26,14,1,3
17,0,2,0,0,2,9,10,13,8,3,4,1,8,12,4,7,6,149,2
18,1,3,1,0,3,8,8,10,10,10,9,13,11,13,8,6,10,0,116
