,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,235,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,216,9,9,6,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,10,74,79,77,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,5,76,84,75,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,4,75,87,74,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,198,0,3,0,25,13,0,0,1,0,0
9,0,0,0,0,0,0,0,0,0,149,7,33,4,2,15,14,16,0,0
10,0,0,0,0,0,0,0,0,3,10,38,32,22,51,23,38,23,0,0
11,0,0,0,0,0,0,0,0,1,20,30,59,29,15,30,29,27,0,0
12,0,0,0,0,0,0,0,0,23,6,23,31,68,38,20,20,11,0,0
13,0,0,0,0,0,0,0,0,13,8,39,19,29,53,25,31,23,0,0
14,0,0,0,0,0,0,0,0,6,24,24,25,25,23,41,31,41,0,0
15,0,0,0,0,0,0,0,0,6,8,39,35,19,44,33,30,26,0,0
16,0,0,0,0,0,0,0,0,0,28,23,38,16,16,45,33,41,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,238
