,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,12,14,7,14,11,14,7,16,12,14,15,6,17,19,14,13,9,12,14
1,10,14,12,14,7,15,7,10,17,12,17,16,14,9,11,17,9,17,12
2,15,15,13,12,10,6,14,17,14,10,8,10,16,10,12,16,13,15,14
3,14,12,12,10,7,16,9,16,20,16,13,10,15,6,17,10,9,11,17
4,9,12,17,14,15,11,15,11,18,9,11,17,13,13,13,8,12,13,9
5,13,19,10,14,11,16,8,10,11,8,10,14,13,13,16,14,16,9,15
6,12,8,12,15,9,8,18,18,14,9,19,13,11,7,6,11,17,13,20
7,14,16,11,13,12,8,15,9,14,14,14,14,18,11,11,17,7,12,10
8,12,11,12,9,13,6,15,21,24,11,15,14,11,16,10,9,11,11,9
9,11,11,18,12,12,16,9,11,14,17,8,14,13,11,18,12,7,12,14
10,9,15,15,11,15,13,12,10,11,10,10,9,15,14,14,12,18,15,12
11,15,8,16,16,13,9,11,8,15,12,12,18,10,12,15,5,20,13,12
12,14,9,15,11,10,12,13,18,17,12,10,19,6,16,9,15,13,13,8
13,9,5,9,8,10,20,16,15,17,11,8,15,15,12,12,18,16,17,7
14,14,18,9,15,15,13,12,9,15,10,8,12,14,4,12,17,19,13,11
15,7,6,19,18,14,14,13,12,20,8,17,18,15,9,8,6,9,14,13
16,13,16,19,16,12,7,13,12,11,9,13,15,12,14,11,15,12,10,10
17,21,12,13,15,9,11,15,14,4,12,13,6,12,18,13,11,11,23,7
18,20,13,13,13,6,9,16,16,8,17,16,12,15,7,14,10,10,16,9
