,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,151,39,9,0,2,2,3,1,5,4,6,1,2,4,4,5,2,0,0
1,4,120,74,0,4,4,1,5,6,4,1,7,0,2,2,5,1,0,0
2,2,68,141,0,1,1,2,4,1,0,3,2,0,2,8,2,3,0,0
3,0,0,0,139,8,5,2,6,10,4,15,9,5,11,10,6,5,1,4
4,0,0,0,1,84,24,26,23,13,6,9,9,11,9,8,5,9,0,3
5,0,0,0,0,28,53,45,42,7,3,9,5,11,10,6,10,8,3,0
6,0,0,0,4,22,52,32,49,9,3,10,6,11,8,12,13,8,0,1
7,0,0,0,0,25,48,50,43,16,7,10,6,7,8,6,5,5,2,2
8,0,0,0,2,8,11,8,8,51,8,17,19,24,30,19,17,16,1,1
9,1,0,0,0,4,6,2,3,9,69,11,33,19,25,23,16,17,0,2
10,0,0,0,0,5,10,2,4,19,25,29,27,28,26,24,23,13,0,5
11,0,1,0,1,4,2,8,5,12,35,12,41,34,25,15,21,20,1,3
12,0,1,0,1,7,5,4,11,18,26,24,26,30,24,18,27,16,1,1
13,0,0,0,1,8,6,6,4,28,19,19,37,16,18,27,17,30,0,4
14,0,1,0,0,3,5,4,6,20,28,28,27,20,30,25,26,15,1,1
15,0,0,0,0,1,7,4,5,15,18,24,23,35,23,25,31,27,1,1
16,0,1,0,0,10,8,3,4,14,30,20,29,25,23,27,22,21,2,1
17,1,0,0,0,7,2,12,6,10,3,5,5,12,6,4,6,7,154,0
18,0,0,0,0,7,5,6,3,13,16,10,5,13,4,8,15,8,1,126
