,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,239,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,200,16,24,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,3,116,121,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,7,114,119,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,146,0,8,3,45,19,11,5,3,0,0
9,0,0,0,0,0,0,0,0,0,128,15,24,5,7,18,12,31,0,0
10,0,0,0,0,0,0,0,0,11,18,41,30,5,38,31,31,35,0,0
11,0,0,0,0,0,0,0,0,2,25,34,49,12,22,32,36,28,0,0
12,0,0,0,0,0,0,0,0,33,17,15,12,83,21,20,24,15,0,0
13,0,0,0,0,0,0,0,0,10,12,35,28,20,42,35,38,20,0,0
14,0,0,0,0,0,0,0,0,8,28,25,35,14,33,30,25,42,0,0
15,0,0,0,0,0,0,0,0,2,18,35,31,10,42,36,27,39,0,0
16,0,0,0,0,0,0,0,0,6,37,29,27,10,23,31,33,44,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
