,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,8,14,9,13,11,8,18,9,18,15,13,12,13,9,16,15,10,13,16
1,10,11,9,11,19,13,12,13,14,15,16,15,9,13,13,14,8,15,10
2,14,10,13,11,10,15,15,19,1,17,14,12,10,8,14,15,8,15,19
3,6,16,11,17,10,9,12,12,9,16,7,16,17,13,19,13,14,16,7
4,6,14,10,11,9,14,16,15,10,17,17,15,5,12,19,9,14,17,10
5,15,14,16,11,7,14,11,14,11,13,15,17,12,12,10,9,17,10,12
6,12,11,13,14,11,11,10,15,11,13,13,17,9,13,14,7,11,15,20
7,14,18,7,8,8,14,7,12,7,14,16,16,18,14,11,10,10,14,22
8,17,11,12,16,12,10,10,13,9,23,9,12,14,13,10,9,15,16,9
9,15,11,14,14,18,6,10,15,15,18,11,9,15,7,16,8,15,12,11
10,17,10,18,13,16,13,12,9,9,12,10,17,14,14,12,8,12,17,7
11,11,17,14,9,17,8,17,12,11,9,9,10,13,10,15,18,11,10,19
12,14,8,15,15,15,11,14,13,12,10,11,12,13,11,21,8,12,10,15
13,13,12,10,15,10,16,17,10,13,11,14,16,8,15,9,7,16,18,10
14,19,15,11,12,10,17,6,7,12,13,14,7,20,19,12,7,10,12,17
15,8,8,20,16,17,8,20,14,10,10,19,17,14,3,10,14,16,11,5
16,19,6,14,10,18,7,9,9,13,6,18,9,13,16,18,11,11,18,15
17,15,8,12,14,9,12,24,8,15,19,11,12,16,7,11,18,8,8,13
18,21,15,14,17,16,14,10,12,11,5,11,7,11,21,13,17,7,7,11
