,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,135,30,21,5,1,4,7,2,6,3,4,2,1,2,3,12,2,0,0
1,7,125,73,1,0,2,3,1,0,4,1,6,6,0,1,5,5,0,0
2,5,102,100,1,2,3,0,5,3,2,3,1,0,5,0,2,3,1,2
3,3,10,3,146,1,7,4,4,11,3,9,8,6,4,3,3,10,0,5
4,0,0,0,0,110,15,17,15,14,1,15,7,8,9,7,8,13,0,1
5,1,1,0,1,3,53,40,46,17,4,8,6,17,12,12,8,8,1,2
6,0,1,1,0,3,41,47,58,16,8,13,5,10,12,6,13,5,0,1
7,0,0,1,0,2,51,43,46,18,2,11,9,15,10,9,11,8,1,3
8,3,1,1,0,3,8,13,14,31,16,20,11,37,31,18,19,13,0,1
9,1,3,2,0,2,2,1,5,13,47,23,31,22,17,26,17,26,0,2
10,1,1,1,0,0,2,9,4,24,29,25,36,19,18,22,21,27,0,1
11,0,0,3,0,1,3,6,7,15,32,32,30,22,18,17,26,26,0,2
12,0,2,0,0,1,2,12,5,20,34,33,28,20,24,15,20,23,0,1
13,0,0,1,1,2,4,6,4,22,21,33,23,24,27,27,25,20,0,0
14,2,0,0,1,2,3,5,3,11,34,19,26,37,25,27,22,20,0,3
15,0,0,2,0,2,5,7,6,20,26,26,25,15,31,29,23,23,0,0
16,1,0,2,0,2,4,3,4,19,29,36,22,22,20,27,26,22,0,1
17,2,1,1,1,2,4,6,10,12,2,3,9,8,12,11,4,7,145,0
18,0,1,1,0,3,5,5,5,20,7,11,8,16,14,10,10,13,0,111
