,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,16,16,12,15,17,14,12,14,3,7,14,12,13,17,6,12,13,17,10
1,18,9,8,10,9,24,6,17,17,13,20,9,14,11,13,6,13,12,11
2,10,18,6,15,11,13,14,10,11,12,14,8,13,13,17,13,11,17,14
3,10,11,10,16,15,13,12,9,8,17,12,12,15,12,15,12,13,17,11
4,11,16,14,11,18,11,11,7,11,12,16,13,11,18,10,14,11,11,14
5,13,13,10,11,16,12,11,9,18,7,10,12,9,9,18,15,18,14,15
6,13,17,12,11,16,18,12,6,11,15,12,12,8,13,14,6,16,18,10
7,12,13,10,11,21,20,16,13,11,14,8,6,10,15,14,12,14,12,8
8,13,11,17,12,6,13,22,13,12,12,10,9,13,16,13,12,11,13,12
9,15,7,15,15,14,10,14,9,12,8,15,16,14,12,12,11,21,8,12
10,11,11,8,21,14,10,12,14,12,20,14,6,9,13,14,8,15,17,11
11,11,8,12,12,16,14,9,14,15,11,7,12,18,13,5,15,12,19,17
12,8,13,11,16,10,9,16,10,19,10,18,7,10,14,16,12,13,10,18
13,14,14,17,11,16,11,18,4,6,19,8,10,14,7,16,12,11,19,13
14,19,19,12,15,15,10,8,13,7,8,10,11,13,15,14,9,14,17,11
15,6,12,9,9,14,12,6,13,18,14,12,17,23,10,10,22,10,12,11
16,9,7,15,16,10,13,12,9,11,14,14,19,16,11,15,10,18,13,8
17,10,17,8,17,11,10,9,14,16,11,18,12,7,9,20,12,10,20,9
18,9,13,15,12,14,10,12,17,14,10,17,13,14,19,10,12,8,13,8
