,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,149,39,14,0,1,1,4,1,1,4,2,5,2,5,4,5,2,1,0
1,1,130,78,0,0,3,0,2,2,4,4,2,3,3,0,5,2,1,0
2,3,72,145,0,1,0,1,3,2,2,1,3,2,2,1,2,0,0,0
3,0,0,0,141,6,11,8,2,6,3,8,9,14,7,5,8,7,0,5
4,0,0,0,2,95,18,20,25,16,5,9,2,7,9,18,4,7,2,1
5,0,0,0,2,32,47,38,45,19,5,4,5,8,9,8,8,9,0,1
6,1,1,0,1,21,48,37,60,12,5,4,12,10,9,6,5,7,1,0
7,0,0,0,0,33,48,49,37,15,2,9,5,11,8,7,8,6,2,0
8,0,0,0,0,7,7,10,8,60,10,17,11,26,27,17,24,11,4,1
9,0,0,0,0,7,1,4,5,7,72,25,19,14,20,18,19,27,0,2
10,0,0,0,1,5,5,6,7,15,24,30,27,22,25,18,26,24,0,5
11,0,0,0,0,5,8,4,7,15,26,23,40,28,24,16,14,26,1,3
12,0,0,0,1,11,9,5,3,27,25,18,22,30,23,23,23,18,0,2
13,0,0,0,1,3,3,9,6,29,14,19,28,30,30,23,23,20,1,1
14,1,0,0,1,6,6,5,5,16,28,25,18,30,19,24,24,29,1,2
15,0,0,0,0,7,6,6,7,22,26,27,29,17,28,19,18,25,0,3
16,0,0,1,1,6,4,2,10,20,29,19,20,24,25,25,25,25,2,2
17,0,0,0,0,5,11,9,7,7,6,3,2,6,9,3,9,8,153,2
18,0,0,0,1,7,6,6,4,10,9,5,11,13,21,6,10,11,1,119
