,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,225,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,148,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,64,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,73,86,79,2,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,80,75,85,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,84,81,74,1,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,1,5,3,209,0,10,0,0,9,0,3,0,0,0
9,0,0,0,0,0,0,0,0,1,97,26,62,0,18,3,24,9,0,0
10,0,0,0,0,0,0,0,0,20,20,50,29,3,66,1,50,1,0,0
11,0,0,0,0,0,0,0,0,2,48,41,69,0,29,5,42,4,0,0
12,0,0,0,0,0,0,0,0,1,1,0,0,154,5,51,7,19,0,2
13,0,0,0,0,0,0,0,0,24,13,52,25,3,78,3,39,3,0,0
14,0,0,0,0,0,0,1,0,1,4,1,6,41,9,88,18,70,0,1
15,0,0,0,0,0,0,0,0,7,19,44,37,0,53,8,59,13,0,0
16,0,0,0,0,0,0,0,0,1,4,3,11,27,8,87,12,86,0,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
