,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,16,8,13,15,19,9,11,14,10,17,8,20,12,10,12,8,8,15,15
1,15,15,13,20,13,14,11,12,11,11,13,13,14,8,14,9,15,7,12
2,8,8,12,14,13,20,11,9,10,9,11,14,13,11,15,21,12,14,15
3,9,14,5,12,16,12,15,11,13,8,14,10,17,15,14,13,19,12,11
4,7,16,12,9,10,17,8,14,9,14,14,18,18,13,14,11,10,14,12
5,9,14,7,12,15,13,6,12,12,17,12,15,15,10,19,6,16,19,11
6,14,12,14,12,10,15,16,14,14,12,12,13,11,14,12,16,11,6,12
7,10,16,17,9,16,12,12,14,7,13,11,8,17,7,16,16,15,12,12
8,14,12,13,9,21,14,10,9,16,11,13,12,13,12,11,16,7,20,7
9,14,17,17,15,12,15,9,13,12,14,11,10,7,7,13,16,16,15,7
10,9,12,13,10,8,15,16,12,18,13,14,13,10,14,10,9,14,18,12
11,6,8,10,14,16,11,9,23,14,10,19,12,15,15,9,12,11,17,9
12,8,13,8,11,13,16,12,15,12,11,15,10,13,13,14,14,10,14,18
13,23,15,10,11,8,10,19,14,18,13,11,15,10,13,7,19,6,9,9
14,18,17,11,7,13,17,10,15,13,10,10,13,9,11,12,15,13,12,14
15,12,13,12,14,9,11,9,12,17,16,11,17,11,11,11,12,15,10,17
16,15,12,16,11,11,8,12,11,9,18,16,17,9,11,12,17,11,9,15
17,13,13,11,13,10,16,14,6,16,9,15,14,15,10,14,15,19,10,7
18,14,15,10,15,10,7,12,14,12,12,17,14,9,13,12,17,9,20,8
