,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,155,26,16,0,1,1,2,1,5,5,8,6,1,6,0,4,1,1,1
1,24,91,73,3,0,3,4,3,7,4,2,3,2,5,4,4,2,0,6
2,8,69,114,3,0,3,3,3,3,5,7,2,3,4,4,3,3,0,3
3,3,3,9,163,0,5,4,3,9,6,2,4,4,8,3,4,2,2,6
4,0,0,2,1,143,4,13,12,8,4,4,3,18,3,4,6,6,0,9
5,0,0,1,0,2,48,52,52,18,3,7,6,7,8,6,10,7,1,12
6,0,1,0,0,0,52,52,62,13,7,9,3,4,8,7,9,1,2,10
7,0,1,0,0,1,45,55,63,17,4,8,6,4,7,3,6,5,2,13
8,2,1,2,0,2,17,21,36,39,6,24,13,11,23,1,17,10,2,13
9,2,0,0,0,4,4,3,3,16,59,23,29,12,12,19,30,14,1,9
10,0,1,0,0,3,10,3,8,25,38,25,34,7,27,13,28,13,1,4
11,0,0,1,0,1,8,8,5,12,39,40,39,8,22,12,28,13,0,4
12,0,2,0,0,8,9,6,2,13,14,6,11,51,15,40,9,34,2,18
13,1,0,0,0,1,6,8,10,19,26,30,20,13,34,18,28,14,2,10
14,0,1,0,0,2,7,7,6,7,14,11,12,42,13,53,10,49,0,6
15,0,0,0,1,1,12,2,7,26,30,28,34,12,29,7,27,13,0,11
16,0,1,1,0,1,0,6,5,10,21,10,9,41,11,54,21,40,1,8
17,0,0,0,0,1,21,11,18,9,2,5,7,6,3,3,3,3,142,6
18,1,1,0,0,5,8,8,9,11,7,12,10,6,10,9,6,5,0,132
