,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,34,29,24,5,10,10,12,8,11,4,9,8,10,9,12,11,8,12,14
1,23,23,52,12,3,8,8,10,9,13,12,5,11,11,7,9,12,9,3
2,22,25,38,11,5,13,10,20,5,14,11,11,9,10,6,7,3,11,9
3,9,8,10,11,13,10,11,6,24,16,11,11,12,15,17,20,12,9,15
4,7,4,6,20,11,17,10,10,23,9,14,13,18,13,15,14,13,12,11
5,4,11,6,18,15,10,17,8,18,9,20,16,9,16,12,11,10,12,18
6,12,6,5,13,18,13,16,14,14,14,14,9,15,14,11,12,12,13,15
7,11,7,5,16,19,12,12,14,15,14,14,16,9,10,16,10,11,15,14
8,6,5,6,14,9,15,4,11,19,19,14,10,17,22,13,13,13,12,18
9,4,6,3,13,13,9,20,18,16,14,23,12,12,5,17,13,17,12,13
10,8,6,4,20,11,12,10,22,8,14,15,15,12,14,16,14,12,15,12
11,6,7,5,12,11,15,20,18,22,9,13,10,12,17,13,15,13,9,13
12,3,2,5,9,19,10,17,12,19,13,19,21,13,15,11,16,12,14,10
13,5,2,8,13,12,20,11,10,18,11,18,9,15,11,15,17,18,15,12
14,2,2,7,10,18,13,13,12,16,19,18,15,8,15,16,18,8,12,18
15,4,6,13,23,15,10,13,9,16,10,13,14,14,14,11,17,6,19,13
16,5,4,6,18,11,16,14,11,9,12,14,17,11,16,14,12,10,21,19
17,8,4,5,23,10,10,18,17,16,18,7,17,13,13,16,13,9,11,12
18,5,5,4,22,10,19,11,16,12,15,11,11,14,19,17,9,12,14,14
