,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,176,45,8,1,0,0,0,1,0,2,0,0,3,1,0,0,2,0,1
1,53,103,77,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,0
2,32,72,135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0,100,13,6,8,16,8,12,9,11,9,13,1,13,7,9,5
4,0,0,0,17,17,11,17,17,13,19,16,22,10,18,17,18,14,11,3
5,0,0,0,16,15,12,19,16,17,14,18,21,19,11,14,18,12,14,4
6,0,0,0,17,9,25,15,14,22,12,12,16,10,16,23,17,13,15,4
7,0,0,0,12,16,17,15,14,13,19,20,23,15,13,12,16,18,12,5
8,1,0,0,16,13,12,13,21,11,18,18,26,11,17,16,6,19,15,7
9,0,0,0,17,14,22,15,14,9,13,17,12,23,10,13,24,16,14,7
10,0,0,0,18,10,15,15,21,11,24,14,14,18,13,22,16,18,10,1
11,0,0,0,19,10,11,20,14,17,24,17,15,17,14,15,10,17,13,7
12,1,0,0,17,20,18,16,10,14,12,16,21,16,17,19,24,8,5,6
13,2,0,0,22,13,16,9,11,19,18,20,17,10,11,19,20,18,11,4
14,1,0,0,17,11,9,10,15,16,25,23,11,17,9,21,20,14,14,7
15,0,0,0,8,13,13,8,27,21,18,18,21,17,11,20,18,15,8,4
16,1,0,0,12,15,22,16,17,16,17,13,16,15,17,11,13,19,13,7
17,0,0,0,6,8,4,8,10,10,6,8,7,11,9,5,8,4,130,6
18,0,0,0,8,7,4,9,7,5,2,6,4,10,6,6,6,4,10,146
